date,month,quarter,season,doy,global_lux,direct_lux,diffuse_lux,pressure,snow,temp,temp_max,temp_min,ts,dew_point,wind_speed,wind_direction,uv_index,albedo,optical_depth_55,optical_depth_84,clearness,precip,humidity_specific,humidity_relative,cloud_amt,cloud_depth,water
2012-01-01,Jan,1,Winter,1,27205.73,56475.98,11038.7,99.54,0,7.92,12.3,0.3,7.54,4.45,3.4,278.19,0.33,0.15,0.09,0.06,0.69,1.07,5.43,79.44,32.34,4.16,1.08
2012-01-02,Jan,1,Winter,2,19795.97,28585.67,12446.81,100.16,6.25,-1.71,2.12,-6.07,-1.8,-6.23,3.23,314.62,0.24,0.15,0.08,0.05,0.72,0.07,2.38,72.94,47.47,6.11,0.34
2012-01-03,Jan,1,Winter,3,34130.57,90589.75,6065.27,100.47,0.78,-3.45,0.83,-6.76,-3.45,-8.92,1.58,286.38,0.29,0.16,0.03,0.02,0.73,0,1.89,67.38,11.19,4.84,0.52
2012-01-04,Jan,1,Winter,4,30478.95,87998.1,8085.58,99.8,0,0.82,8.57,-3.67,0.39,-1.75,2.26,222.44,0.33,0.14,0.09,0.05,0.7,0,3.42,82.69,14.4,0.55,0.8
2012-01-05,Jan,1,Winter,5,33506.58,86835.58,6205.51,99.61,0,3.64,11.37,-0.78,3.34,0.45,1.09,241,0.35,0.16,0.04,0.02,0.71,0,3.97,82.56,0.62,NA,0.94
2012-01-06,Jan,1,Winter,6,34056.51,87463.72,6388.27,99.12,0,7.86,16.17,-0.13,7.28,6.19,2.18,208.44,NA,0.15,0.05,0.03,0.73,0.07,6.16,89.12,12.54,NA,0.88
2012-01-07,Jan,1,Winter,7,18128.64,20611.49,12904.42,99.24,0,10.56,14.82,4.9,10.16,8.8,1.78,197,0.3,0.14,0.13,0.09,0.66,1.77,7.32,89.12,69.14,7.83,1.7
2012-01-08,Jan,1,Winter,8,20785.8,16444.59,15812.8,99.71,0,6.16,9.7,3.38,6.03,4.41,1.58,54.5,0.31,0.13,0.15,0.09,0.67,1.8,5.25,89.06,74.06,4.64,1.67
2012-01-09,Jan,1,Winter,9,17086.18,15930.58,12235.12,99.59,0,7.73,13.31,4.22,7.76,5.91,0.91,172.25,0.27,0.13,0.27,0.18,0.64,1.83,5.86,89,76.44,5.87,1.67
2012-01-10,Jan,1,Winter,10,16565.77,8047.49,13570.49,99.04,0,7.36,10.75,2.19,7.15,5.76,1.7,83.81,0.25,0.13,0.15,0.09,0.67,4.39,5.92,90.38,98.35,6.45,2.04
